pixel_x,pixel_y,lat_deg,lon_deg,origin_lat_deg,origin_lon_deg
1050, 360, 30.394527, -88.901581, 30.394527, -88.901581
1039, 250, 30.394621, -88.901594, 30.394527, -88.901581
774, 211, 30.394651, -88.901845, 30.394527, -88.901581
725, 196, 30.394662, -88.901893, 30.394527, -88.901581
634, 325, 30.394559, -88.901978, 30.394527, -88.901581
464, 481, 30.394432, -88.902139, 30.394527, -88.901581
647, 567, 30.394361, -88.901964, 30.394527, -88.901581
852, 633, 30.394304, -88.901769, 30.394527, -88.901581
923, 638, 30.394299, -88.901702, 30.394527, -88.901581
1004, 592, 30.394339, -88.901625, 30.394527, -88.901581
