det_id,frame_name,frame_id,label,good,width,height,confidence,topleft_y,topleft_x,bottomright_y,bottomright_x,mask
-1,,,manual,1,1280,720,0.99,617,658,646,683,790418 790442 791698 791722 792978 793002 794258 794282 795538 795562 796818 796842 798098 798122 799378 799402 800658 800682 801938 801962 803218 803242 804498 804522 805778 805802 807058 807082 808338 808362 809618 809643 810898 810923 812178 812203 813458 813483 814738 814763 816018 816043 817298 817323 818578 818603 819858 819883 821138 821163 822418 822443 823698 823723 824978 825003 826258 826283 827538 827563
0,,,manual,1,1280,720,0.9900000095367432,674,210,708,226,862936 862936 864215 864217 865494 865498 866773 866780 868052 868061 869331 869342 870610 870623 871890 871903 873170 873183 874450 874464 875730 875744 877010 877024 878290 878304 879570 879584 880850 880864 882130 882145 883410 883425 884690 884705 885971 885985 887251 887265 888531 888545 889811 889825 891091 891105 892371 892386 893651 893666 894931 894946 896211 896226 897491 897506 898771 898786 900051 900065 901332 901343 902613 902622 903895 903900 905176 905179 906457 906457
1,,,manual,1,1280,720,0.9900000095367432,553,339,576,365,708189 708202 709467 709482 710744 710762 712022 712043 713301 713323 714580 714603 715860 715883 717139 717163 718419 718444 719700 719724 720980 721004 722260 722284 723540 723564 724821 724844 726101 726125 727381 727405 728662 728685 729942 729964 731222 731243 732502 732522 733783 733801 735063 735080 736346 736358 737630 737634
2,,,manual,1,1280,720,0.9900000095367432,473,328,499,343,605779 605780 607056 607060 608333 608340 609610 609620 610888 610900 612168 612181 613448 613461 614728 614741 616008 616021 617288 617301 618569 618581 619849 619861 621129 621141 622409 622422 623689 623702 624969 624982 626249 626262 627529 627542 628809 628822 630089 630102 631370 631382 632650 632662 633930 633943 635210 635223 636490 636503 637770 637783 639057 639063
3,,,manual,1,1280,720,0.9900000095367432,426,283,443,302,545568 545574 546845 546860 548123 548140 549403 549420 550684 550701 551964 551981 553244 553261 554525 554541 555805 555821 557085 557101 558366 558382 559646 559662 560927 560942 562207 562221 563488 563499 564769 564778 566051 566056 567333 567334
4,,,manual,1,1280,720,0.9900000095367432,389,471,404,483,498397 498398 499673 499679 500951 500960 502231 502240 503511 503521 504791 504802 506071 506082 507351 507362 508632 508642 509912 509923 511192 511203 512472 512483 513752 513763 515032 515043 516315 516322 517599 517600
5,,,manual,1,1280,720,0.9900000095367432,415,477,434,481,531680 531681 532957 532961 534237 534241 535517 535521 536797 536801 538077 538080 539357 539360 540637 540640 541917 541920 543197 543200 544477 544480 545757 545760 547037 547040 548317 548320 549597 549600 550877 550879 552157 552159 553437 553439 554717 554719 555999 555999
6,,,manual,1,1280,720,0.9900000095367432,378,587,408,595,484432 484432 485711 485713 486991 486994 488270 488275 489549 489555 490829 490835 492108 492115 493388 493395 494668 494675 495948 495955 497228 497235 498508 498515 499788 499795 501068 501075 502348 502355 503628 503635 504908 504915 506187 506194 507467 507474 508747 508754 510027 510034 511307 511314 512587 512594 513867 513874 515147 515154 516427 516434 517707 517714 518987 518994 520267 520274 521549 521554 522833 522834
7,,,manual,1,1280,720,0.9900000095367432,383,543,398,550,490788 490788 492066 492068 493344 493348 494623 494628 495903 495909 497183 497189 498463 498469 499743 499749 501023 501029 502303 502309 503583 503589 504863 504869 506143 506150 507423 507430 508705 508710 509989 509990
8,,,manual,1,1280,720,0.9900000095367432,352,531,383,538,451095 451095 452375 452375 453654 453656 454934 454936 456214 456216 457494 457497 458773 458777 460053 460057 461333 461337 462613 462618 463892 463898 465172 465178 466452 466458 467732 467738 469012 469018 470292 470298 471572 471578 472852 472858 474132 474138 475412 475418 476691 476698 477971 477977 479251 479257 480531 480537 481811 481817 483091 483097 484371 484377 485651 485657 486931 486937 488213 488217 489495 489497 490777 490777
